id;start_date;end_date;language
1;2020-01-24T04:42:28;2020-01-24T02:32:43;SPANISH
2;2020-01-23T09:32:39;2020-01-24T04:37:04;SPANISH
3;2020-01-24T00:27:58;2020-01-23T11:02:07;FRENCH
4;2020-01-23T15:45:29;2020-01-24T03:16:55;FRENCH
5;2020-01-24T01:15:47;2020-01-24T06:02:46;FRENCH
6;2020-01-23T19:08:08;2020-01-24T07:16:22;FRENCH
7;2020-01-23T20:53:28;2020-01-23T14:44:19;FRENCH
8;2020-01-23T19:49:41;2020-01-24T06:05:49;SPANISH
9;2020-01-23T18:30:50;2020-01-23T15:12:13;SPANISH
10;2020-01-24T02:42:54;2020-01-23T13:17:24;SPANISH
