id;start_date;end_date;employeeid;accepted_leave
1;2020-01-24T06:38:20;2020-01-24T00:43:17;11304;8783
2;2020-01-24T00:11:12;2020-01-23T07:46:14;63122;44927
3;2020-01-24T07:43:41;2020-01-23T21:28:50;82565;74612
4;2020-01-24T00:02:20;2020-01-23T16:14:06;54128;41087
5;2020-01-23T16:40:56;2020-01-23T20:15:15;40642;44807
6;2020-01-23T12:06:59;2020-01-23T18:54:26;86369;70141
7;2020-01-23T13:48:30;2020-01-23T14:00:37;25036;78624
8;2020-01-23T20:12:29;2020-01-24T03:23:13;56788;97122
9;2020-01-23T18:56:09;2020-01-23T23:28:37;47580;16111
10;2020-01-23T16:08:47;2020-01-24T05:15:14;88466;89816
